F-101	forward	class_catalog	root/_db_class heap object (class_to_disk / tf_class_to_disk serializer, NOT heap_attrinfo_transform_to_disk)	heap_next(...PEEK...)	DONT_CONSUME	locator_initialize -> heap_next	or_class_name(&peek)	scan root heap, read class name to build classname->OID cache	variable(class name field)	false	EXCLUDED	preserve/resolve (n/a - class objects never OOS-demoted)	DONT_CONSUME (stored form)	EXCLUDED	locator_sr.c:302-307 locator_initialize -> heap_next(PEEK,DONT_CONSUME) -> or_class_name; class producer object/transform_cl.c:4546 tf_class_to_disk/class_to_disk (bypasses heap_attrinfo_determine_disk_layout)	class-heap scan; no OOS on class objects	-	confirm class-catalog records are never routed through heap_attrinfo_transform_to_disk (reverse-audit producer check)
F-102	forward	class_catalog	root/_db_class heap object (class_to_disk serializer)	heap_next(...PEEK...)	DONT_CONSUME	locator_check_class_names -> heap_next	or_class_name(&peek)	consistency check: class heap vs classname table	variable(class name field)	false	EXCLUDED	n/a (class objects never OOS-demoted)	DONT_CONSUME (stored form)	EXCLUDED	locator_sr.c:1975-1978 locator_check_class_names -> heap_next(PEEK,DONT_CONSUME) -> or_class_name	class-heap scan	-	same producer dependency as F-101
F-103	forward	heap_instance	user heap record via heap_get_context	locator_get_object(...COPY,CONSUME)	CONSUME	locator_lock_and_return_object -> locator_get_object -> heap_get_visible_version_internal/lock_and_get_internal	assign->recdes -> locator_return_object_assign -> LC_COPYAREA -> client	single-object client fetch (raw record shipped to CS client)	full	true	EXPAND	EXPAND (materialize OOS values)	CONSUME (Expand)	CORRECT	locator_sr.c:2336-2347 explicit CBRD-27029 comment; S_DOESNT_FIT returned as negative recdes len, caller grow-and-retry (locator_return_object_assign / xlocator_fetch)	client cannot resolve OOS stubs; verify S_DOESNT_FIT retry	-	verify retry contract in xlocator_fetch copyarea grow loop (reverse audit)
F-104	forward	heap_instance	user heap record	heap_next(...COPY,CONSUME)	CONSUME	xlocator_fetch_all -> heap_next	recdes -> LC_COPYAREA (obj->length/offset) -> client (unloaddb/compactdb via load_object.c)	bulk class fetch to client	full	true	EXPAND	EXPAND	CONSUME (Expand)	CORRECT	locator_sr.c:2912-2913 xlocator_fetch_all -> heap_next(COPY,CONSUME); packs LC_COPYAREA 2914-2931	unloaddb/compactdb correctness; historic CBRD-26948 leak	F-201	CURRENT CODE FIXES CBRD-26948: xlocator_fetch_all now CONSUMEs (was leaking stubs when Expand made opt-in). Confirm against CBRD-26948 OPEN status
F-105	forward	heap_instance	user heap record	heap_get_visible_version(...PEEK,CONSUME)	CONSUME	locator_all_reference_lockset -> heap_get_visible_version	peek_recdes -> heap_get_referenced_by (raw OID/set extraction)	build reference graph: extract referenced OIDs from record bytes	variable(OID/set-bearing attrs)	true	EXPAND	EXPAND	CONSUME (Expand)	CORRECT	locator_sr.c:3498-3500 heap_get_visible_version(PEEK,CONSUME); 3594-3596 heap_get_referenced_by(&peek_recdes,...) raw parse	OID-bearing SET/SEQUENCE could be OOS-backed; raw parse needs resolved bytes	-	verify heap_get_referenced_by does raw OR parse (reverse audit)
F-106	forward	heap_instance	user heap record (existence only)	locator_get_object(recdes=NULL,PEEK,DONT_CONSUME)	DONT_CONSUME	xlocator_does_exist -> locator_get_object	none (recdes==NULL)	existence/lock check only	none	false	NO_BODY	preserve (no body materialized)	DONT_CONSUME	CORRECT	locator_sr.c:3965-3966 locator_get_object with recdes=NULL	record body never read	-	-
F-107	forward	heap_instance	user FK-child heap record	locator_lock_and_get_object(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_check_primary_key_delete -> locator_lock_and_get_object -> lock_and_get_internal	recdes -> (SET NULL branch) locator_attribute_info_force rec_descriptor -> heap_attrinfo_transform_to_disk -> heap_attrinfo_set_uninitialized -> heap_attrvalue_read (OOS Resolve)	FK cascade delete / SET NULL: lock + rebuild record via attr layer	none/variable(attr-layer)	true	RESOLVE	RESOLVE (attr-layer per-attribute)	DONT_CONSUME	CORRECT	locator_sr.c:4446-4448 lock_and_get(DONT_CONSUME); 4511-4515 old rec fed as rec_descriptor to locator_attribute_info_force; heap_file.c:11948/11962 heap_attrvalue_read; 10476-10479 OR_IS_OOS -> heap_attrvalue_read_oos_inline	unchanged attrs resolved via attr layer	-	-
F-108	forward	heap_instance	user FK-child heap record	locator_lock_and_get_object(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_check_primary_key_update -> locator_lock_and_get_object	recdes -> (SET NULL) locator_attribute_info_force rec_descriptor -> transform_to_disk (attr-layer Resolve)	FK cascade update / SET NULL	none/variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:4802-4804 lock_and_get(DONT_CONSUME); 4853-4857 old rec -> locator_attribute_info_force rec_descriptor	same path as F-107	-	-
F-109	forward	heap_instance	old user heap record (UPDATE)	locator_lock_and_get_object_with_evaluation(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_update_force -> locator_lock_and_get_object_with_evaluation	oldrecdes -> or_mvcc_get_header (header) + locator_update_index -> heap_attrinfo_read_dbvalues (OOS Resolve)	fetch old record for index maintenance	header + variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:5790-5793 (need_locking); consumers 5857/5871 or_mvcc_get_header, 6042 locator_update_index -> 8518 heap_attrinfo_read_dbvalues	baseline correct policy for update old-record fetch	-	-
F-110	forward	heap_instance	old user heap record (UPDATE, non-locking)	heap_get_visible_version(...COPY,CONSUME)	CONSUME	locator_update_force (else !need_locking) -> heap_get_visible_version	oldrecdes -> same consumers as F-109 (or_mvcc_get_header header-only + locator_update_index attr-layer Resolve)	fetch old record for index maintenance	header + variable(attr-layer)	true	RESOLVE	RESOLVE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:5797-5800 heap_get_visible_version(COPY,CONSUME); INCONSISTENT with F-109 (5793 DONT_CONSUME) - same downstream consumer	eager Expand unnecessary; consumer is attr layer	F-202	Revert to DONT_CONSUME. RISK: expanding a large multi-chunk OOS old record into DB_PAGESIZE*2 area can return S_DOESNT_FIT; update_force has NO grow-retry here (falls to ER_FAILED) -> possible spurious UPDATE failure for large OOS rows
